id,title,genres,averageRating,numVotes,releaseYear
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,167477,2019
tt0096657,"Mr. Bean","Comedy, Family",8.6,137292,1990
tt1870479,"The Newsroom",Drama,8.6,126953,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,121604,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120177,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,116940,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,108258,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,90845,2016
tt9174558,Dopesick,Drama,8.6,82008,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,78358,2011
tt5421602,"Anne with an E","Drama, Family",8.6,69557,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54317,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53521,1989
tt0088484,"Blackadder II",Comedy,8.6,50664,1986
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.6,49377,2016
tt0237123,Coupling,"Comedy, Romance",8.6,48214,2000
tt0092324,"Blackadder the Third",Comedy,8.6,47754,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47032,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46658,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45529,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,42433,2022
tt5288312,Skam,"Drama, Romance",8.6,39558,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38119,2020
tt9140342,"It's a Sin","Comedy, Drama, History",8.6,37838,2021
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,37310,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36146,1960
tt0417349,"North & South","Drama, Romance",8.6,35589,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34471,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34000,2003
tt7562112,Pose,Drama,8.6,33665,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32414,2012
tt4647692,Letterkenny,Comedy,8.6,30785,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30151,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,29314,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28554,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26500,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26142,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25278,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,23417,2023
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22308,2012
tt0129690,"I'm Alan Partridge",Comedy,8.6,22292,1997
tt4082744,Detectorists,Comedy,8.6,22260,2014
tt0421291,"Avrupa Yakasi",Comedy,8.6,21835,2004
tt2311418,"Isler Güçler",Comedy,8.6,21484,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,20943,2020
tt7278862,"My Brilliant Friend",Drama,8.6,18904,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,18806,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18545,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,17964,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17855,2020
tt3671754,"Kardes Payi","Comedy, Drama, Family",8.6,17439,2014
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16583,1999
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15520,2004
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15342,2022
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15116,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14434,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13465,1998
tt0086831,"Yes, Prime Minister",Comedy,8.6,13254,1986
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13249,2010
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12355,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12273,2016
tt0118273,"Brass Eye",Comedy,8.6,11743,1997
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11680,2020
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11323,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10461,2019
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10182,2015
tt31862849,"Very Parivarik",Comedy,8.6,10164,2024
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10152,1999
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10052,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,599834,2013
